name,email,country,region,phone,address,occupation,score,registration_number,married
Lenore Battle,cras.pellentesque@aptent.ca,Brazil,Paraíba,(99) 0000-3334,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Gerente de Enfermagem,10,1,Nao
Igor Meyers,non.lobortis@donec.edu,Brazil,Rio de Janeiro,(75) 0000-4823,812-5620 Neque Ave,Fisioterapeuta Geral,1,7,Nao
Mannix Kaufman,rhoncus.proin@tinciduntaliquam.net,Brazil,Goiás,(69) 0000-3859,2283 Sit Road,Tecnico Em Radiologia,6,10,Sim
Scott Potts,erat.sed@facilisisvitae.net,Brazil,Pernambuco,(72) 0000-2186,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Enfermeiro Chefe,4,5,Nao
Cadman Noble,sed.neque@aultricies.com,Brazil,Paraná,(64) 0000-6989,Ap #659-6508 In Avenue,Tecnico Em Radiologia,6,4,Sim
Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim
Lunea Wilkerson,amet.diam@necmaurisblandit.net,Brazil,Bahia,(21) 0000-1279,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Enfermeiro Obstreta,8,2,Sim
Deanna Castillo,vivamus@amet.net,Brazil,Pará,(59) 0000-6327,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Enfermeiro UTI,9,3,Nao
Peter Gould,consectetuer.adipiscing.elit@nibhaliquam.ca,Brazil,Minas Gerais,(75) 0000-7480,780-6327 Id Av.,Enfermeiro UTI,7,8,Nao
Dawn Peterson,phasellus.ornare@feugiat.ca,Brazil,São Paulo,(38) 0000-0942,Ap #879-2062 Augue Street,Cirurgiao,2,3,Sim
Harrison Stevens,augue.eu@sit.co.uk,Brazil,Rio de Janeiro,(76) 0000-5352,540-7648 Imperdiet Avenue,Tecnico Em Radiologia,5,2,Sim
Zoe Vargas,vulputate.dui.nec@sitamet.edu,Brazil,Rio Grande do Sul,(64) 0000-8914,Ap #146-8760 Molestie Avenue,Nefrologista,1,1,Nao
Norman Ward,vel@vitaeorciphasellus.net,Brazil,Paraná,(61) 0000-3927,203-5598 Euismod Av.,Tecnico Enfermagem,5,2,Sim
Kaye Carr,et.commodo.at@crasinterdum.co.uk,Brazil,Paraná,(44) 0000-7135,Ap #315-1807 Id Road,Enfermeiro Obstreta,7,4,Sim
Cheyenne Britt,est@nibhlacinia.co.uk,Brazil,Paraíba,(64) 0000-4369,Ap #469-9330 A Avenue,Tecnico Enfermagem,8,4,Nao
Hanae Duffy,penatibus.et.magnis@maecenasmalesuadafringilla.org,Brazil,Paraná,(36) 0000-7712,"Sydney Olson,nulla.integer@tinciduntduiaugue.ca,Brazil,Santa Catarina,(89) 0000-7356,424-3084 Per St.,Auxiliar de Enfermagem,9,1,Sim",Medico,10,1,Sim
